Smiles,id,name,cnnaff_pos,cnnaff,MW,HBA,HBD,LogP,Pass_Ro5,has_pains,has_unwanted_subs,has_prob_fgs,synthetic_accessibility,cnn_per_mw,Mol,TPSA,QED,N_RotBonds
[H]c1nc([C@@]2([H])C([H])([H])[C@@]2([H])c2c([H])c(OC([H])([H])C3([H])C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c(C([H])([H])C3([H])C([H])([H])C3([H])[H])n([H])c2=O)n([H])c1[H],13470,fegrow_gen/c1([C@@H]2C[C@@H]2c2ncc[nH]2)cc(OCC2CCNCC2)c(CC2CC2)[nH]c1=O.sdf,5.39296,0.015849666575559,340.257,4,3,2.7,True,False,False,False,8.26875851828005,-0.015849666575559,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6ce85f0>,82.79999999999998,0.7016816183163362,7
[H]c1nc([C@@]([H])(C([H])([H])[C@@]([H])(c2c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c([H])n([H])c2=O)C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c(C(F)(F)F)c([H])c1OC([H])([H])C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],4582,fegrow_gen/c1([C@@H](C)C[C@H](c2ncc(OCC3CCNCC3)cc2C(F)(F)F)S(C)(=O)=O)cc(CCC)c[nH]c1=O.sdf,6.36712,0.0128537023092622,495.353,6,2,4.3991,True,False,False,False,8.36955422905258,-0.0128537023092622,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f1b290>,101.15,0.473285475851292,10
[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])[H])c2[H])c(=O)c1[H],10034,fegrow_gen/c1c(S)c(N2C(=O)C=CC2=O)cn(-c2cncc(OC)c2)c1=O.sdf,5.857,0.0184038284487932,318.249,7,1,0.9592,True,False,True,True,6.72095906445099,-0.0184038284487932,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70f9930>,81.5,0.669930767928971,3
[H]c1nc(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc([H])c1C([H])([H])[C@@]([H])([C@@]1([H])C([H])([H])N([H])C([H])([H])C1([H])[H])[C@@]([H])(c1c([H])c(-c2c([H])c([H])c([H])c([H])c2C#N)c([H])n([H])c1=O)C([H])([H])[H],5313,fegrow_gen/c1([C@@H](C)[C@@H](Cc2cnc(OCc3ccccc3)nc2)[C@@H]2CCNC2)cc(-c2ccccc2C#N)c[nH]c1=O.sdf,6.2974,0.0132751794997196,474.374,6,2,4.85448,True,False,False,False,8.46620946699989,-0.0132751794997196,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78ff530>,103.69,0.3369087836546423,9
[H]Sc1c(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n([H])c(=O)c1-c1c([H])c([H])c(N([H])C([H])([H])c2c([H])c([H])nc([H])c2[H])c(C([H])([H])N([H])[H])c1[H],6579,fegrow_gen/c1(-c2ccc(NCc3ccncc3)c(CN)c2)c(S)c(C2CCOCC2)c[nH]c1=O.sdf,6.18107,0.0155951365725906,396.346,6,4,3.6904,True,False,True,False,7.19510752432656,-0.0155951365725906,<rdkit.Chem.rdchem.Mol object at 0x7ff0d78ea420>,93.03,0.4548098410696673,6
[H]Sc1c(-c2c([H])c([H])c([H])c(N([H])[H])c2[H])c(N=C=S)n([H])c(=O)c1C([H])([H])C([H])([H])c1c([H])c([H])c([H])c(-c2c([H])c([H])c(C([H])([H])OOc3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c([H])c2[H])c1[H],2023,fegrow_gen/c1(CCc2cccc(-c3ccc(COOc4ccc(OC)cc4)cc3)c2)c(S)c(-c2cccc(N)c2)c(N=C=S)[nH]c1=O.sdf,6.66311,0.0115174106564106,578.525,8,3,7.61850000000001,False,False,True,True,7.65376464022375,-0.0115174106564106,<rdkit.Chem.rdchem.Mol object at 0x7ff0d6f5c970>,98.93,0.0356891417328553,11
[H]Oc1c([H])c([H])c([H])c([H])c1-c1c([H])c([H])c([H])c([H])c1C([H])([H])Oc1nc([H])c(C([H])([H])[C@@]([H])([C@@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])n1,7157,fegrow_gen/c1([C@@H](C)[C@@H](Cc2cnc(OCc3ccccc3-c3ccccc3O)nc2)[C@@H]2CCNC2)ccc[nH]c1=O.sdf,6.13043,0.0132020329273939,464.355,6,3,4.6884,True,False,False,False,8.56101336725986,-0.0132020329273939,<rdkit.Chem.rdchem.Mol object at 0x7ff0d7976340>,100.13,0.3109344477913058,9
[H]C1=C([H])C(=O)N(c2c(Sc3c([H])nc([H])nc3-c3c([H])nn([H])c3[H])c(Br)c(=O)n(-c3c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c2[H])C1=O,454,fegrow_gen/c1(Br)c(Sc2c(-c3cn[nH]c3)ncnc2)c(N2C(=O)C=CC2=O)cn(-c2ccc(N(C)C)cc2)c1=O.sdf,7.00582,0.012824571969371,546.281,9,1,3.4267,True,True,True,True,7.40813290797723,-0.012824571969371,<rdkit.Chem.rdchem.Mol object at 0x7ff0d72794d0>,117.08,0.3544262668511467,6
[H]O[C@@](c1c([H])c(P(=O)(O[H])O[H])c(C([H])([H])N([H])[H])c([H])c1-c1c(S[H])c([H])c([H])n([H])c1=O)(C([H])([H])[H])C([H])([H])c1c([H])c([H])c(OC(F)(F)F)c([H])c1[H],10039,fegrow_gen/c1(-c2c(C(Cc3ccc(OC(F)(F)F)cc3)(C)O)cc(P(=O)(O)O)c(CN)c2)c(S)cc[nH]c1=O.sdf,5.85681,0.0115226890425647,508.285,6,6,2.9411,False,False,True,False,6.95355755836329,-0.0115226890425647,<rdkit.Chem.rdchem.Mol object at 0x7ff0d70f9b60>,145.86999999999998,0.2034867251773824,7
[H]C(=O)c1c([H])c(C(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c(C([H])([H])Sc2c(N3C(=O)C([H])=C([H])C3=O)c([H])n([H])c(=O)c2[H])c([H])c1Cl,10966,fegrow_gen/c1c(SCc2c(C(=O)N(CC)CC)cc(C=O)c(Cl)c2)c(N2C(=O)C=CC2=O)c[nH]c1=O.sdf,5.75763,0.0126882087716901,453.778,6,1,3.0445,True,False,True,True,7.44951714936055,-0.0126882087716901,<rdkit.Chem.rdchem.Mol object at 0x7ff0d718b450>,107.62,0.3584525244596096,8
