cnnaff,Smiles
4.85094,[H]O[C@@]([H])(C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C(=O)N([H])[H]
5.32618,[H]c1c([H])c(Cl)c([H])c(C([H])([H])Sc2c([H])c(S(=O)(=O)C([H])([H])[H])n([H])c(=O)c2[H])c1[H]
4.83959,[H]c1c([H])c(-c2c([H])c(C3([H])C([H])([H])C3([H])[H])c(=O)n([H])c2[H])c([H])c([H])c1OC([H])([H])C([H])([H])[H]
3.98712,[H]OC([H])([H])C([H])([H])N([H])[C@@]1([H])C([H])([H])[C@]1([H])c1c([H])c([H])c([H])n([H])c1=O
5.46291,[H]c1c([H])c(F)c([H])c([C@@]([H])(c2nnn([H])n2)C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c1[H]
5.05887,[H]c1c([H])c([H])n(-c2c(SC3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c(N=C=S)n([H])c2=O)c1[H]
4.83285,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])OC([H])([H])C([H])([H])[H])C2([H])[H])c([H])n([H])c(=O)c1[H]
5.3233,[H]C#CC([H])([H])Oc1c([H])c([H])c(Cl)c([H])c1C([H])([H])Sc1c([H])c([H])n(C([H])([H])C([H])([H])O[H])c(=O)c1[H]
4.8206,[H]c1c(SC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(=O)n([H])c1N=C=S
3.61963,[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])n([H])c(=O)c1[H]
4.81837,[H]c1c([H])c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)[C@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
4.01819,[H]c1c([H])c([H])n(N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(=O)c1[H]
3.62243,[H]OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c([H])c([H])c(=O)n([H])c1[H]
5.74744,[H]c1nc(-n2c([H])c([H])c([H])c([C@](C([H])([H])[H])(C([H])(F)F)[C@@]([H])(c3c([H])c([H])c([H])n3[H])C([H])([H])[H])c2=O)n([H])c1[H]
4.81409,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c(Br)c([H])n([H])c1=O
3.81175,[H]O[C@]([H])(C([H])([H])C([H])([H])N([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
4.02993,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@]([H])(N([H])S(=O)(=O)N([H])[H])C([H])([H])[H]
5.07636,[H]c1nc([H])c(C([H])([H])[C@@]([H])([C@@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c([H])n1
4.03272,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C(F)(F)F
4.81285,[H]c1c(SN([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(=O)n([H])c1N=C=S
4.04929,[H]c1c([H])c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H]
